1#0#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#1#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#2#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#3#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#4#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#5#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#6#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#7#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#8#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#9#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#10#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#11#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#12#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#13#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#14#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#15#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#16#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#17#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
3#18#Choose the right sentence.#Yes, I'm dumb#No, I'm dumb#Absolutely, I'm dumb#Thank you, I'm dumb
